scenario,cum_rows,chunk_rows,chunk_ms,rows_per_sec,total_bytes,index_bytes
pg_serial,100000,100000,470,212558.2,11968512,4505600
pg_serial,200000,100000,414,241425.8,23855104,8953856
pg_serial,300000,100000,407,245123.0,35700736,13361152
pg_serial,400000,100000,432,231374.5,47546368,17768448
pg_serial,500000,100000,418,239030.6,59408384,22183936
pg_serial,600000,100000,403,247545.1,71245824,26591232
pg_serial,700000,100000,376,265690.5,83083264,30990336
pg_serial,800000,100000,352,283747.8,94912512,35381248
pg_serial,900000,100000,303,329174.4,106774528,39796736
pg_serial,1000000,100000,343,290885.1,118611968,44204032
pg_uuidv4_app,100000,100000,584,170985.9,12787712,4505600
pg_uuidv4_app,200000,100000,626,159496.3,25403392,8871936
pg_uuidv4_app,300000,100000,660,151325.7,36282368,11501568
pg_uuidv4_app,400000,100000,665,150366.9,50561024,17522688
pg_uuidv4_app,500000,100000,642,155559.8,61161472,19865600
pg_uuidv4_app,600000,100000,597,167405.9,72687616,23142400
pg_uuidv4_app,700000,100000,706,141521.7,87097344,29302784
pg_uuidv4_app,800000,100000,712,140375.3,100900864,34848768
pg_uuidv4_app,900000,100000,718,139248.1,112238592,37928960
pg_uuidv4_app,1000000,100000,729,137118.2,122421248,39862272
pg_uuidv7_app,100000,100000,545,183281.9,11460608,3178496
pg_uuidv7_app,200000,100000,568,176031.5,22863872,6332416
pg_uuidv7_app,300000,100000,563,177581.2,34267136,9486336
pg_uuidv7_app,400000,100000,646,154770.1,45670400,12640256
pg_uuidv7_app,500000,100000,542,184194.2,57073664,15785984
pg_uuidv7_app,600000,100000,581,171894.5,68476928,18939904
pg_uuidv7_app,700000,100000,597,167281.1,79880192,22093824
pg_uuidv7_app,800000,100000,597,167416.8,91291648,25255936
pg_uuidv7_app,900000,100000,600,166485.8,102703104,28409856
pg_uuidv7_app,1000000,100000,558,179168.1,114114560,31563776
mysql_autoinc,100000,100000,728,137280.9,9469952,2637824
mysql_autoinc,200000,100000,516,193693.5,16809984,4734976
mysql_autoinc,300000,100000,529,188713.8,25231360,6832128
mysql_autoinc,400000,100000,491,203309.0,32587776,8929280
mysql_autoinc,500000,100000,458,217899.3,39927808,9977856
mysql_autoinc,600000,100000,430,232487.8,48349184,12107776
mysql_autoinc,700000,100000,399,250370.1,55705600,14204928
mysql_autoinc,800000,100000,420,237790.7,64094208,16302080
mysql_autoinc,900000,100000,398,251137.4,71450624,18415616
mysql_autoinc,1000000,100000,395,252581.8,79855616,20512768
mysql_uuidv4_app,100000,100000,714,140032.5,11026432,0
mysql_uuidv4_app,200000,100000,699,142900.0,21544960,0
mysql_uuidv4_app,300000,100000,667,149907.2,34160640,0
mysql_uuidv4_app,400000,100000,608,164364.1,43597824,0
mysql_uuidv4_app,500000,100000,640,156204.9,54149120,0
mysql_uuidv4_app,600000,100000,691,144607.0,66732032,0
mysql_uuidv4_app,700000,100000,723,138223.8,78266368,0
mysql_uuidv4_app,800000,100000,677,147596.1,86654976,0
mysql_uuidv4_app,900000,100000,683,146281.4,96190464,0
mysql_uuidv4_app,1000000,100000,690,144852.4,107757568,0
mysql_uuidv7_app,100000,100000,561,177944.2,6832128,0
mysql_uuidv7_app,200000,100000,528,189387.5,14204928,0
mysql_uuidv7_app,300000,100000,514,194534.5,20512768,0
mysql_uuidv7_app,400000,100000,540,184850.6,27869184,0
mysql_uuidv7_app,500000,100000,489,204479.3,34160640,0
mysql_uuidv7_app,600000,100000,543,184051.6,41517056,0
mysql_uuidv7_app,700000,100000,523,191084.3,47824896,0
mysql_uuidv7_app,800000,100000,552,180985.0,54116352,0
mysql_uuidv7_app,900000,100000,465,214902.4,61472768,0
mysql_uuidv7_app,1000000,100000,518,192851.1,67764224,0
